Date,Open,High,Low,Close,Volume
17/01/2006,128.2,128.42,127.81,128.33,52066600
13/01/2006,128.57,128.9,128.2,128.68,44856700
12/01/2006,129.08,129.28,128.44,128.8,40509200
11/01/2006,129.02,129.44,128.73,129.31,49598900
10/01/2006,128.39,128.98,128.26,128.9,44960800
09/01/2006,128.42,129.06,128.38,128.77,43527400
06/01/2006,128.02,128.58,127.36,128.44,62885900
05/01/2006,127.15,127.59,126.88,127.38,47307500
04/01/2006,126.86,127.49,126.7,127.3,51899600
03/01/2006,125.19,127,124.39,126.7,73256700
30/12/2005,124.8,125.06,124.36,124.51,44645600
29/12/2005,125.72,125.96,125.06,125.19,32788900
28/12/2005,125.74,125.99,125.5,125.75,30764300
27/12/2005,126.96,127.05,125.38,125.47,44499500
23/12/2005,126.78,126.86,126.42,126.76,27977300
22/12/2005,126.31,126.69,126.08,126.69,32247900
21/12/2005,126.22,126.76,125.8,126.03,51806900
20/12/2005,125.86,126.59,125.48,125.83,46603200
19/12/2005,126.73,126.87,125.69,125.71,48733000
16/12/2005,127.28,127.36,126.36,126.36,46238300
15/12/2005,127.84,128,127.18,127.44,55900300
14/12/2005,127.19,128.09,127.14,127.81,64375000
13/12/2005,126.42,127.7,126.29,127.31,88630900
12/12/2005,126.71,126.86,125.96,126.45,48389900
09/12/2005,126.16,126.78,125.82,126.33,50744500
08/12/2005,126.22,126.82,125.48,126,62608600
07/12/2005,126.77,126.87,125.68,126.08,66816500
06/12/2005,127.05,127.74,126.63,126.82,57935200
05/12/2005,126.7,126.73,126.18,126.58,59273400
02/12/2005,126.77,127.08,126.5,126.85,46699400
01/12/2005,126.02,127.03,125.98,126.69,65468200
30/11/2005,126.16,126.52,125.29,125.41,56007200
29/11/2005,126.65,126.98,126.09,126.09,51738900
28/11/2005,127.25,127.27,126.04,126.23,54498500
25/11/2005,126.98,127.22,126.81,127.13,15270000
23/11/2005,126.25,127.41,126.21,127.03,50854700
22/11/2005,125.56,126.52,125.42,126.3,66438800
21/11/2005,125.15,125.91,124.98,125.76,50021200
18/11/2005,125.06,125.28,124.33,125.13,72437200
17/11/2005,123.68,124.65,123.14,124.64,55717500
16/11/2005,123.37,123.55,122.98,123.49,51133000
15/11/2005,123.55,124.09,122.86,123.24,69592500
14/11/2005,123.79,124.02,123.38,123.69,45092200
