Date,Close,High,Low,Open,Volume
15/10/2014,80.56,80.77,77.51,78.91,69469609
14/10/2014,79.95,82.29,79.52,81.65,55995552
13/10/2014,80.97,84.39,80.86,83.37,47549252
10/10/2014,83.55,85.41,82.64,84.49,60474277
9/10/2014,84.74,87.45,84.5,87.3,36670419
8/10/2014,87.97,88.05,85.47,86.87,35989957
7/10/2014,87.12,88.93,87.09,87.8,17899289
6/10/2014,88.27,89.17,87.62,88.62,20125051
3/10/2014,88.17,88.8,87.42,88.75,20098867
2/10/2014,88.31,88.89,86.78,88.25,29246461
1/10/2014,88.77,91.06,88.49,90.61,18978821
30/9/2014,90.62,91.9,90.06,91.68,21741488
29/9/2014,91.77,91.94,90.59,90.81,15454328
26/9/2014,91.98,92.37,90.5,90.82,11484758
25/9/2014,90.81,92.21,90.76,92.17,13436425
24/9/2014,92.22,92.75,90.76,92.08,24743541
23/9/2014,92.14,93.06,92.12,92.27,9140463
22/9/2014,92.41,93.69,92.05,93.64,10630668
19/9/2014,93.79,94.49,93.75,94.06,9474841
18/9/2014,94.35,95.2,94.1,95.15,12284681
17/9/2014,94.84,95.77,94.56,95.59,11069342
16/9/2014,95.36,95.96,93.95,94.09,13455648
15/9/2014,94.22,94.47,92.99,93.46,13391313
12/9/2014,93.56,94.79,93.27,94.7,15440306
11/9/2014,94.98,95.12,93.76,94.16,12505767
10/9/2014,94.92,95.06,93.81,95.06,10433270
9/9/2014,95.15,96.11,94.59,95.52,10003697
8/9/2014,95.57,96.68,95.13,96.6,10978153
5/9/2014,97.08,97.11,95.82,96.48,8775410
4/9/2014,96.43,98.02,95.98,97.98,12292306
3/9/2014,97.75,98.44,97.69,98.14,7190860
2/9/2014,97.49,98.69,97.07,98.6,8648420
29/8/2014,98.74,98.79,98.06,98.41,5367707
28/8/2014,98.19,98.29,97.71,97.87,3104519
27/8/2014,98.17,98.57,97.91,98.46,3860063
26/8/2014,98.37,98.87,97.96,98.15,5597183
25/8/2014,97.87,97.94,97.25,97.28,4380363
22/8/2014,97.01,97.52,96.61,97.52,7383394
21/8/2014,97.66,97.76,97.22,97.71,5567212
20/8/2014,97.58,97.71,96.85,97.25,5947976
19/8/2014,97.37,97.55,96.76,96.83,5998042
18/8/2014,96.63,96.92,96.22,96.72,8597847
15/8/2014,96.37,96.51,95.6,95.85,11075331
14/8/2014,95.66,96.5,95.52,96.35,7617630
13/8/2014,96.21,96.73,95.86,96.42,6488951
12/8/2014,95.9,96.47,95.5,96.47,9998142
11/8/2014,96.61,97.58,96.54,97.23,11203566
8/8/2014,96.6,96.7,95.07,95.3,11586395
7/8/2014,95.01,96.27,94.49,96.1,13256982
6/8/2014,95.61,96.72,94.96,95.13,11548041
5/8/2014,95.33,97.25,94.77,97.05,16440170
4/8/2014,97.46,97.7,95.54,95.83,12896457
1/8/2014,95.85,96.67,95.02,96.36,17833264
31/7/2014,96.63,98.18,96.56,98.13,17285161
30/7/2014,98.76,100.13,98.44,99.82,10780805
29/7/2014,99.35,99.92,99.3,99.42,6832820
28/7/2014,99.6,99.93,98.99,99.76,7478201
25/7/2014,99.84,100.31,99.71,100.22,4803461
24/7/2014,100.58,100.97,100.24,100.65,5747232
23/7/2014,100.49,100.5,99.67,100.1,6701314
22/7/2014,99.85,100.16,99.48,99.58,5978016
