date,close,high,low,open,volume,,,,,,
10/02/2011,6020.01,6052.29,5986.48,6052.29,821798016,,0,,0,0,0
09/02/2011,6052.29,6091.33,6049.5,6091.33,923601728,,0,,0,0,0
08/02/2011,6091.33,6091.33,6032.88,6051.03,859550016,,0,,0,0,0
07/02/2011,6051.03,6054.09,5996.61,5997.38,694874944,,0,,0,0,0
04/02/2011,5997.38,6023.41,5983.33,5983.34,763863296,,0,,0,0,0
03/02/2011,5983.34,6000.29,0,6000.07,103625552,,0,,0,0,0
02/02/2011,6000.07,6020.46,5957.82,5957.82,878318272,,0,,0,0,0
01/02/2011,5957.82,5963.72,5862.94,5862.94,966826560,,0,,0,0,0
31/01/2011,5862.94,5881.72,5815.44,5881.37,931414848,,0,,0,0,0
28/01/2011,5881.37,5965.84,5877.88,5965.08,968312064,,0,,0,0,0
27/01/2011,5965.08,5997.33,5950.72,5969.21,820596416,,0,,0,0,0
26/01/2011,5969.21,6003.28,5917.71,5917.71,880021248,,0,,0,0,0
25/01/2011,5917.71,5964.69,0,5943.85,103422448,,0,,0,0,0
24/01/2011,5943.85,5960.55,5887.6,5896.25,920210752,,0,,0,0,0
21/01/2011,5896.25,5939.33,0,5867.91,116165056,,0,,0,0,0
20/01/2011,5867.91,5977.5,5867.29,5976.7,999116416,,0,,0,0,0
19/01/2011,5976.7,6077.06,5974.79,6056.43,882392960,,0,,0,0,0
18/01/2011,6056.43,6065.71,5985.48,5985.7,871180992,,0,,0,0,0
17/01/2011,5985.7,6013.4,5975.64,6002.07,599575168,,0,,0,0,0
14/01/2011,6002.07,6031.74,5948.47,6023.88,852945536,,0,,0,0,0
13/01/2011,6023.88,6055.47,6005.51,6050.72,922875968,,0,,0,0,0
12/01/2011,6050.72,6050.72,0,6014.03,102686416,,0,,0,0,0
11/01/2011,6014.03,6035.89,5956.3,5956.3,862039232,,0,,0,0,0
10/01/2011,5956.3,5984.33,5939.89,5984.33,662790976,,0,,0,0,0
07/01/2011,5984.33,6023.7,5973.41,6019.51,780984960,,0,,0,0,0
06/01/2011,6019.51,6090.49,6004.56,6043.86,843815808,,0,,0,0,0
05/01/2011,6043.86,6043.86,5964.43,6013.87,887010496,,0,,0,0,0
04/01/2011,6013.87,6049.45,5899.94,5899.94,950390592,,0,,0,0,0
31/12/2010,5899.94,5985.7,5899.94,5971.01,197446944,,0,,0,0,0
30/12/2010,5971.01,6009.84,5969.71,5996.36,252316528,,0,,0,0,0
29/12/2010,5996.36,6021.46,5976.98,6008.92,329122112,,0,,0,0,0
24/12/2010,6008.92,6008.92,5978.24,5996.07,66767036,,0,,0,0,0
23/12/2010,5996.07,6000.55,5982.16,5983.49,314131680,,0,,0,0,0
22/12/2010,5983.49,5991.9,5936.3,5951.8,527260064,,0,,0,0,0
21/12/2010,5951.8,5953.94,5891.14,5891.61,541859584,,0,,0,0,0
20/12/2010,5891.61,5913.83,5865.51,5871.75,536148480,,0,,0,0,0
17/12/2010,5871.75,5902.53,0,5881.12,143143424,,0,,0,0,0
16/12/2010,5881.12,5907.1,5862.86,5882.18,636310656,,0,,0,0,0
